Age,Gender,Item Purchased,Purchase Amount (USD),Location,Size,Color,Review Rating,Subscription Status,Discount Applied,Promo Code Used,Previous Purchases,Frequency of Purchases,Category_clothing,Category_footwear,Category_outerwear,Season_spring,Season_summer,Season_winter,Shipping Type_express,Shipping Type_free shipping,Shipping Type_next day air,Shipping Type_standard,Shipping Type_store pickup,Payment Method_cash,Payment Method_credit card,Payment Method_debit card,Payment Method_paypal,Payment Method_venmo,Purchase_Amount_Bins,Age_Group,Review_Sentiment
32,1,gloves,73,delaware,0,gold,3.6,1,1,1,43,4,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,medium,25-34,neutral
21,1,shoes,92,virginia,1,teal,4.8,1,1,1,37,1,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,high,18-24,positive
20,1,jeans,67,new york,3,teal,2.6,1,1,1,20,1,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,medium,18-24,negative
26,1,hoodie,40,missouri,3,indigo,3.7,1,1,1,33,4,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,low,25-34,neutral
62,1,sunglasses,98,south dakota,1,maroon,2.7,1,1,1,31,26,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,high,55-64,negative
27,1,coat,85,north dakota,3,white,4.6,1,1,1,50,26,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,high,25-34,positive
51,1,socks,67,oklahoma,2,violet,4.8,1,1,1,35,4,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,medium,45-54,positive
54,1,boots,89,west virginia,2,red,4.0,1,1,1,22,26,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,high,45-54,positive
55,1,sunglasses,24,new hampshire,2,pink,4.4,1,1,1,1,12,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,low,55-64,positive
69,1,backpack,96,new york,1,charcoal,3.6,1,1,1,4,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,high,65+,neutral
64,1,jacket,35,minnesota,2,white,3.7,1,1,1,31,12,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,low,55-64,neutral
28,1,sneakers,67,maryland,2,olive,3.1,1,1,1,46,26,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,medium,25-34,neutral
70,1,socks,79,montana,2,purple,3.4,1,1,1,32,26,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,high,65+,neutral
58,1,t-shirt,85,alabama,1,violet,2.6,1,1,1,43,26,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,high,55-64,negative
56,1,backpack,26,new york,1,black,4.0,1,1,1,26,26,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,low,55-64,positive
26,1,belt,75,massachusetts,2,purple,5.0,1,1,1,9,1,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,high,25-34,positive
37,1,gloves,65,florida,1,red,4.3,1,1,1,28,26,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,medium,35-44,positive
44,1,hat,54,new jersey,2,maroon,3.1,1,1,1,20,4,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,medium,35-44,neutral
70,1,coat,95,massachusetts,0,blue,3.7,1,1,1,9,52,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,high,65+,neutral
53,1,skirt,94,wyoming,1,gray,3.8,1,1,1,48,4,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,high,45-54,neutral
55,1,shoes,86,virginia,0,blue,3.4,1,1,1,12,1,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,high,55-64,neutral
50,1,sandals,32,south dakota,2,yellow,4.6,1,1,1,29,26,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,low,45-54,positive
50,1,sweater,45,kentucky,2,orange,4.8,1,1,1,27,26,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,low,45-54,positive
38,1,coat,76,wyoming,1,orange,4.3,1,1,1,44,1,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,high,35-44,positive
64,1,hat,84,west virginia,2,red,4.0,1,1,1,32,1,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,high,55-64,positive
19,1,shorts,72,virginia,1,olive,4.2,1,1,1,11,26,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,medium,18-24,positive
40,1,backpack,40,washington,2,brown,4.8,1,1,1,44,26,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,low,35-44,positive
57,1,sweater,89,louisiana,2,brown,3.1,1,1,1,46,52,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,high,55-64,neutral
44,1,sweater,86,nevada,1,gray,3.1,1,1,1,50,1,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,high,35-44,neutral
49,1,shorts,54,california,1,indigo,3.6,1,1,1,45,4,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,medium,45-54,neutral
43,1,shorts,36,mississippi,2,pink,3.9,1,1,1,48,4,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,low,35-44,neutral
24,1,sweater,89,mississippi,1,gray,4.8,1,1,1,26,52,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,high,18-24,positive
20,1,scarf,32,california,1,gold,4.7,1,1,1,21,26,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,low,18-24,positive
24,1,dress,67,pennsylvania,3,olive,4.2,1,1,1,49,26,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,medium,18-24,positive
44,1,scarf,39,kentucky,2,violet,3.7,1,1,1,13,26,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,low,35-44,neutral
28,1,skirt,29,maine,2,indigo,3.9,1,1,1,46,52,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,low,25-34,neutral
30,1,backpack,58,new mexico,1,orange,4.7,1,1,1,42,52,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,medium,25-34,positive
52,1,sweater,65,montana,1,violet,2.5,1,1,1,25,1,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,medium,45-54,negative
43,1,hat,94,texas,2,gray,4.9,1,1,1,25,12,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,high,35-44,positive
43,1,sandals,81,kansas,1,purple,4.1,1,1,1,12,4,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,high,35-44,positive
39,1,blouse,86,south carolina,1,white,3.3,1,1,1,4,4,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,high,35-44,neutral
68,1,sneakers,43,colorado,1,turquoise,4.7,1,1,1,38,52,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,low,65+,positive
68,1,skirt,29,georgia,1,maroon,4.4,1,1,1,42,52,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,low,65+,positive
49,1,coat,95,florida,1,white,3.8,1,1,1,30,1,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,high,45-54,neutral
63,1,shirt,28,north carolina,2,yellow,3.9,1,1,1,50,52,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,low,55-64,neutral
56,1,gloves,46,virginia,1,turquoise,4.9,1,1,1,45,52,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,medium,55-64,positive
37,1,jacket,58,nebraska,2,violet,3.1,1,1,1,33,26,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,medium,35-44,neutral
30,1,coat,48,missouri,1,beige,2.7,1,1,1,25,4,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,medium,25-34,negative
19,1,shoes,43,new jersey,1,silver,3.2,1,1,1,25,12,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,low,18-24,neutral
24,1,jewelry,95,missouri,1,teal,4.5,1,1,1,44,4,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,high,18-24,positive
52,1,skirt,30,colorado,0,black,4.0,1,1,1,21,26,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,low,45-54,positive
63,1,shoes,64,idaho,1,purple,3.5,1,1,1,31,26,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,medium,55-64,neutral
37,1,gloves,90,wyoming,1,gray,2.6,1,1,1,47,1,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,high,35-44,negative
38,1,pants,76,delaware,1,white,3.2,1,1,1,14,12,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,high,35-44,neutral
35,1,boots,96,california,2,cyan,4.9,1,1,1,17,4,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,high,35-44,positive
28,1,sunglasses,47,north dakota,2,turquoise,4.5,1,1,1,3,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,medium,25-34,positive
30,1,shirt,85,south carolina,0,brown,4.3,1,1,1,42,1,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,high,25-34,positive
69,1,hoodie,55,north carolina,1,maroon,3.2,1,1,1,22,1,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,medium,65+,neutral
41,1,dress,98,oklahoma,1,charcoal,3.6,1,1,1,21,4,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,high,35-44,neutral
63,1,socks,77,maine,0,olive,4.3,1,1,1,21,4,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,high,55-64,positive
35,1,shorts,26,missouri,1,lavender,4.0,1,1,1,40,1,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,low,35-44,positive
36,1,hat,68,vermont,0,yellow,3.0,1,1,1,1,26,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,medium,35-44,neutral
25,1,shirt,73,connecticut,3,teal,4.1,1,1,1,50,12,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,medium,25-34,positive
58,1,gloves,27,new hampshire,1,charcoal,3.8,1,1,1,39,4,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,low,55-64,neutral
27,1,gloves,23,texas,1,orange,4.6,1,1,1,34,12,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,low,25-34,positive
65,1,backpack,49,north dakota,1,olive,3.0,1,1,1,29,26,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,medium,65+,neutral
54,1,sunglasses,74,california,1,turquoise,3.0,1,1,1,31,26,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,high,45-54,neutral
54,1,skirt,67,virginia,1,purple,3.4,1,1,1,8,52,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,medium,45-54,neutral
59,1,handbag,65,delaware,0,purple,2.6,1,1,1,5,26,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,medium,55-64,negative
42,1,handbag,60,kentucky,0,yellow,2.8,1,1,1,7,12,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,medium,35-44,negative
46,1,sneakers,31,delaware,3,indigo,4.0,1,1,1,30,12,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,low,45-54,positive
33,1,gloves,27,arkansas,1,green,4.0,1,1,1,14,4,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,low,25-34,positive
34,1,shoes,80,louisiana,1,magenta,3.0,1,1,1,5,26,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,high,25-34,neutral
27,1,jacket,30,nevada,0,gold,3.3,1,1,1,3,4,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,low,25-34,neutral
52,1,shirt,25,wyoming,1,maroon,2.6,1,1,1,46,26,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,low,45-54,negative
29,1,shorts,35,virginia,1,blue,3.6,1,1,1,4,52,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,low,25-34,neutral
54,1,jewelry,67,nebraska,1,violet,3.9,1,1,1,42,26,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,medium,45-54,neutral
25,1,hat,46,hawaii,1,turquoise,3.4,1,1,1,30,1,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,medium,25-34,neutral
41,1,shoes,35,vermont,2,brown,3.5,1,1,1,37,1,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,low,35-44,neutral
53,1,coat,86,oklahoma,2,violet,2.8,1,1,1,2,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,high,45-54,negative
53,1,backpack,81,new hampshire,2,black,2.7,1,1,1,30,4,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,high,45-54,negative
21,1,hoodie,42,kansas,2,magenta,3.7,1,1,1,47,12,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,low,18-24,neutral
61,1,skirt,43,idaho,2,lavender,4.3,1,1,1,21,4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,low,55-64,positive
